,x,y,z
16494,0.04,0.04,1.01
15799,0.03,0.04,1.0
15429,0.03,0.05,1.0
5543,0.04,0.03,1.0
15424,0.04,0.05,1.01
1523,0.0,-0.05,1.02
12105,0.04,0.03,1.0
10810,-0.21,0.24,0.83
15056,0.04,0.03,1.0
13465,0.04,0.04,1.01
18935,0.02,0.05,1.05
8325,0.04,0.02,1.0
3751,0.04,0.02,1.01
5603,0.04,0.03,1.0
4126,0.04,0.05,0.99
9059,0.04,0.03,1.0
10252,0.04,0.04,1.0
1678,0.04,0.03,1.0
7684,0.04,0.03,1.0
9194,0.04,0.03,1.0
16354,0.01,-0.14,1.06
12119,0.04,0.03,1.0
2060,-0.02,0.11,1.04
15398,0.12,-0.06,1.02
18924,0.25,0.21,0.98
8547,0.04,0.03,1.0
18090,0.04,0.17,1.01
12320,0.04,0.02,1.0
11408,0.04,0.03,1.0
15218,0.01,0.06,0.97
19314,0.11,-0.009999999999999995,0.95
12223,0.04,0.03,1.0
18455,0.04,0.05,1.0
15022,0.04,0.02,1.0
18864,0.13,-0.02,1.14
5941,0.04,0.02,1.0
10205,0.04,0.04,1.0
6782,0.04,0.02,1.0
14553,-0.0,-0.05,0.84
3437,0.04,0.03,1.0
17607,0.04,0.02,1.0
7406,0.04,-0.01,0.91
12821,0.04,0.04,1.0
4505,0.03,-0.07,0.99
14481,0.04,0.02,1.0
16121,0.01,0.07,1.0
17564,0.04,0.02,1.0
1618,0.01,0.03,1.01
4961,0.04,0.05,1.0
17227,0.0,0.0,1.0
4214,0.04,-0.01,1.05
16114,0.05,-0.35,0.87
1600,0.04,0.05,1.0
18692,0.04,0.04,1.0
9671,0.04,0.02,1.0
1806,0.04,0.04,1.0
11830,0.04,0.03,1.0
16563,0.04,0.04,1.01
16291,0.04,0.05,1.01
15540,0.04,0.05,1.0
17571,0.04,0.02,1.0
9134,0.04,0.02,1.0
9431,0.04,0.03,1.0
1735,0.04,0.05,1.0
13888,0.04,0.03,1.0
773,0.0,-0.02,1.04
17386,0.07,0.35,1.05
6395,0.04,0.03,1.0
8681,0.04,0.03,1.0
14156,0.01,0.09,1.07
394,0.04,0.03,1.0
5998,0.04,0.03,1.0
2600,0.04,0.05,1.0
19253,0.04,0.04,1.0
16043,0.03,0.04,1.0
15769,0.04,0.04,1.0
15712,0.04,0.04,1.0
9744,0.07,-0.01,0.99
2033,0.04,0.04,1.0
17437,0.04,0.25,1.01
2061,0.02,0.04,1.02
12643,0.1,0.08,1.04
11619,0.04,0.03,1.0
4521,0.04,0.05,1.0
14512,0.2,0.23,0.97
6507,0.04,0.02,1.0
17665,0.04,0.03,1.0
13227,0.04,0.05,1.0
873,0.04,0.03,1.0
2851,0.04,0.02,1.0
18063,0.04,0.03,1.0
16680,0.04,0.03,1.0
9115,0.04,0.02,1.0
18542,0.04,0.05,1.0
4367,0.0,-0.09,0.95
11684,0.04,0.01,1.0
16841,0.04,0.02,1.0
8272,0.04,0.04,1.01
7930,0.04,0.04,1.01
19587,-0.17,0.009999999999999995,1.15
11206,0.05,0.03,1.01
2292,0.08,0.09,0.9
15577,0.09,-0.07,1.12
7232,0.02,0.03,1.05
15428,0.04,0.04,1.0
16252,0.04,0.47000000000000003,1.03
10627,0.03,-0.05,1.17
3095,0.12,-0.31,0.79
4318,-0.01,-0.06,0.99
10896,0.04,0.04,1.01
8434,-0.06,0.2,0.97
